AAAA;TRIMESTRE;DEPARTAMENTO;PIB_COLOMBIA_ANUAL;PIB_COLOMBIA_TRIMESTRAL;PIB_DEPARTAMENTO_ANUAL;APORTE;PIB_DEPARTAMENTAL_TRIMESTRAL
2010;4;risaralda;640151.0;176000.0;10503.061453880591;0.016407162456796274;2887.6605923961442
2010;1;san andrés, providencia y santa catalina (archipiélago);640151.0;148000.0;984.591191188397;0.0015380608500000735;227.6330058000109
2010;2;san andrés, providencia y santa catalina (archipiélago);640151.0;156000.0;984.591191188397;0.0015380608500000735;239.93749260001147
2010;3;san andrés, providencia y santa catalina (archipiélago);640151.0;160000.0;984.591191188397;0.0015380608500000735;246.08973600001175
2010;4;san andrés, providencia y santa catalina (archipiélago);640151.0;176000.0;984.591191188397;0.0015380608500000735;270.69870960001293
2010;1;santander;640151.0;148000.0;42785.68473514107;0.06683686307627586;9891.855735288827
2010;2;santander;640151.0;156000.0;42785.68473514107;0.06683686307627586;10426.550639899033
2010;3;santander;640151.0;160000.0;42785.68473514107;0.06683686307627586;10693.898092204137
2010;4;santander;640151.0;176000.0;42785.68473514107;0.06683686307627586;11763.28790142455
2010;1;sucre;640151.0;148000.0;5205.7097818538;0.008132002889714772;1203.5364276777862
2010;2;sucre;640151.0;156000.0;5205.7097818538;0.008132002889714772;1268.5924507955044
2010;3;sucre;640151.0;160000.0;5205.7097818538;0.008132002889714772;1301.1204623543636
2010;4;sucre;640151.0;176000.0;5205.7097818538;0.008132002889714772;1431.2325085897999
2010;1;tolima;640151.0;148000.0;14820.06576174138;0.023150890589472454;3426.3318072419233
2010;2;tolima;640151.0;156000.0;14820.06576174138;0.023150890589472454;3611.538931957703
2010;3;tolima;640151.0;160000.0;14820.06576174138;0.023150890589472454;3704.1424943155926
2010;4;tolima;640151.0;176000.0;14820.06576174138;0.023150890589472454;4074.556743747152
2010;1;valle del cauca;640151.0;148000.0;63805.174121525146;0.09967206818629534;14751.46609157171
2010;2;valle del cauca;640151.0;156000.0;63805.174121525146;0.09967206818629534;15548.842637062073
2010;3;valle del cauca;640151.0;160000.0;63805.174121525146;0.09967206818629534;15947.530909807256
2010;4;valle del cauca;640151.0;176000.0;63805.174121525146;0.09967206818629534;17542.28400078798
2010;1;vaupés;640151.0;148000.0;190.4140422901265;0.0002974517610534491;44.02286063591047
